2016-08-09 15:00:01:170[Process      ] GameLogger::Initialize() opened log file [..\Data\LogFiles\2016-08-09 15-00-01.ObjConverter.log] for writing
2016-08-09 15:00:01:171[Info         ] GameLogger::Initialize() successful
2016-08-09 15:00:01:171[Process      ] ConfigReader opened [..\Data\BodaciousQuest.config] successfully
2016-08-09 15:00:01:171[Info         ] ConfigReader initialized successfully
2016-08-09 15:00:01:171[Info         ] Valid KVP [BodaciousQuest.ShowFullScreen] [false] added
2016-08-09 15:00:01:171[Info         ] Valid KVP [BodaciousQuest.FpsInterval] [5.0] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [BodaciousQuest.EnableControls] [true] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [BodaciousQuest.LoadCubeFirst] [true] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [BodaciousQuest.CameraWalkMode] [false] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [BodaciousQuest.GridSize] [40] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Mode.VertexType] [pn] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Mode.Analyze] [false] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model] [Swamp] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Color] [random] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Obj.InputFileFolder] [..\\Data\\Objs\\] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Scene.OutputFileFolder] [..\\Data\\Scenes\\] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumVerts] [57967] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumIndices] [337824] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumTexCoords] [60175] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Dargon.NumNormals] [337824] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Swamp.NumVerts] [2735] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Swamp.NumIndices] [8556] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Swamp.NumTexCoords] [3622] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Swamp.NumNormals] [5156] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumVerts] [5] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumIndices] [18] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumTexCoords] [10] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.Pyramid.NumNormals] [16] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumVerts] [1957] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumIndices] [8718] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumTexCoords] [4186] added
2016-08-09 15:00:01:173[Info         ] Valid KVP [ObjConverter.Model.AIWorld.NumNormals] [5418] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumVerts] [2068] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumIndices] [9894] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumTexCoords] [0] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.GameWeapon.NumNormals] [0] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumVerts] [224] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumIndices] [1374] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumTexCoords] [472] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Chicken.NumNormals] [565] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Cube.NumVerts] [8] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Cube.NumIndices] [36] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Cube.NumTexCoords] [14] added
2016-08-09 15:00:01:174[Info         ] Valid KVP [ObjConverter.Model.Cube.NumNormals] [24] added
2016-08-09 15:00:02:000[cInfo        ] ObjConverter::ReadFile() Read file ..\\Data\\Objs\\Swamp.obj successfully
2016-08-09 15:00:02:001[cInfo        ] NUM VERTS:     2735
2016-08-09 15:00:02:002[cInfo        ] NUM INDICES:   8556
2016-08-09 15:00:02:003[cInfo        ] NUM TEXCOORDS: 3622
2016-08-09 15:00:02:003[cInfo        ] NUM NORMALS:   5156
2016-08-09 15:00:02:004[Process      ] ConfigReader shut down successfully
2016-08-09 15:00:02:004[Process      ] GameLogger::ShutDown() successful
